MASTER_ID,ENTITY,ACTOR_OR_RULER,EVENT_CLASS,SOURCE_DATE_WORDING,YEAR_START,YEAR_END,DATE_PRECISION,ANALYSIS_STATUS,POOLING_STRATUM,EVENT_CLUSTER
M-AIRA018,Greater Armenia,Ariobarzanes of Atropatene,CLIENT_KING_ACCESSION,after death of Tigranes IV; dating disputed in scholarship,2,9,BROAD_SOURCE_DISAGREEMENT,SENSITIVITY,SOVEREIGN_ACCESSION,ARIOBARZANES_ARMENIA
M-AIRA020,Greater Armenia,Vonones I,CLIENT_KING_ACCESSION,about 12 CE,,,APPROXIMATE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,VONONES_ARMENIA_12
M-AIRA021,Kingdom of Armenia,Artaxias III (Zeno),CLIENT_KING_ACCESSION,18 CE,18,18,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ARTAXIAS_III_18
M-AIRA022,Kingdom of Armenia,Arsaces (son of Artabanus II),CLIENT_KING_ACCESSION,35 CE,35,35,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ARSACES_35
M-AIRA023,Kingdom of Armenia,Mithridates of Iberia,CLIENT_KING_ACCESSION,35 CE,35,35,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,MITHRIDATES_35_42
M-AIRA024,Kingdom of Armenia,Mithridates of Iberia,RESTORATION,42 CE,42,42,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,MITHRIDATES_35_42
M-AIRA025,Kingdom of Armenia,Rhadamistus,CLIENT_KING_ACCESSION,51 CE,51,51,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,RHADAMISTUS_51
M-AIRA026,Kingdom of Armenia,Tiridates I,CLIENT_KING_ACCESSION,52 CE,52,52,EXACT_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,TIRIDATES_I_52_66
M-AIRA027,Kingdom of Armenia,Tigranes V (Herodian),CLIENT_KING_ACCESSION,60 CE,60,60,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIGRANES_V_60
M-AIRA028,Kingdom of Armenia,Tiridates I,SOVEREIGNTY_SETTLEMENT,63 CE,63,63,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIRIDATES_I_52_66
M-AIRA029,Kingdom of Armenia,Tiridates I,CORONATION_CONFIRMATION,66 CE,66,66,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIRIDATES_I_52_66
M-AIRA030,Kingdom of Armenia,Axidares,CLIENT_KING_ACCESSION,about 110 CE,,,APPROXIMATE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,AXIDARES_CA110
M-AIRA031,Kingdom of Armenia,Parthamasiris,CLIENT_KING_ACCESSION,after ca. 110 and before Trajan's 114 campaign,111,113,CONTEXT_INTERVAL,SENSITIVITY,SOVEREIGN_ACCESSION,PARTHAMASIRIS_111_113
M-AIRA032,Kingdom of Armenia,Sohaemus,CLIENT_KING_ACCESSION,144 CE (numismatic/institutional chronology),144,144,EXACT_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,SOHAEMUS_144_163
M-AIRA033,Kingdom of Armenia,Sohaemus,RESTORATION,163 CE,163,163,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,SOHAEMUS_144_163
M-AIRA034,Kingdom of Armenia,Tiridates II,CLIENT_KING_ACCESSION,217 CE,217,217,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIRIDATES_II_217
M-AIRA035,Kingdom of Armenia,Tiridates III,RESTORATION,ca. 286/287 CE,,,APPROXIMATE_ALTERNATIVE_YEAR,SENSITIVITY,SOVEREIGN_ACCESSION,TIRIDATES_III_286_297
M-AIRA036,Kingdom of Armenia,Tiridates III,RESTORATION_CONFIRMATION,297 CE,297,297,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,TIRIDATES_III_286_297
M-AIRA037,Kingdom of Armenia,Arshak II,SOVEREIGN_ACCESSION,about 338/339 CE,338,339,ALTERNATIVE_YEAR_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,ARSHAK_II_338_339
M-AIRA038,Kingdom of Armenia,Pap,SOVEREIGN_ACCESSION,371 CE,371,371,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,PAP_371
M-AIRA039,Kingdom of Armenia,Varazdat,SOVEREIGN_ACCESSION,374 CE,374,374,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,VARAZDAT_374
M-AIRA041,Persarmenia,Khosrov III,SOVEREIGN_ACCESSION,at/after the partition of Armenia; treaty itself dated 384 / 387 / 389–390,384,390,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,KHOSROV_III_FIRST
M-AIRA042,Persarmenia,Vramshapuh,SOVEREIGN_ACCESSION,392 CE,392,392,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,VRAMSHAPUH_392
M-AIRA043,Persarmenia,Khosrov III,RESTORATION,415–416 CE,415,416,CONTEXT_INTERVAL,SENSITIVITY,SOVEREIGN_ACCESSION,KHOSROV_III_SECOND
M-AIRA044,Persarmenia,Artashes / Ardashir,SOVEREIGN_ACCESSION,after 420 and before deposition in 428,421,427,CONTEXT_INTERVAL,SENSITIVITY,SOVEREIGN_ACCESSION,ARTASHES_LAST_ARSACID
M-AIRA045,Bagratid Kingdom of Armenia,Ashot I,SOVEREIGN_ACCESSION,885 CE,885,885,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ASHOT_I_885
M-AIRA046,Bagratid Kingdom of Armenia,Smbat I,SOVEREIGN_ACCESSION,890 CE,890,890,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,SMBAT_I_890
M-AIRA047,Bagratid Kingdom of Armenia,Ashot II,SOVEREIGN_ACCESSION,914 CE,914,914,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ASHOT_II_914
M-AIRA048,Bagratid Kingdom of Armenia,Abas I,SOVEREIGN_ACCESSION,928 CE,928,928,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ABAS_I_928
M-AIRA049,Bagratid Kingdom of Armenia,Ashot III,SOVEREIGN_ACCESSION,952 CE,952,952,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ASHOT_III_952
M-AIRA050,Bagratid Kingdom of Armenia,Smbat II,SOVEREIGN_ACCESSION,977 CE,977,977,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,SMBAT_II_977
M-AIRA051,Bagratid Kingdom of Armenia,Gagik I,SOVEREIGN_ACCESSION,989 CE,989,989,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,GAGIK_I_989
M-AIRA052,Bagratid Kingdom of Armenia,Hovhannes-Smbat III,SOVEREIGN_ACCESSION,1020 CE,1020,1020,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,HOVHANNES_SMBAT_1020
M-AIRA053,Bagratid Kingdom of Armenia,Ashot IV,CO_RULE_ACCESSION,1021 CE,1021,1021,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,ASHOT_IV_1021
M-AIRA054,Bagratid Kingdom of Armenia,Gagik II,SOVEREIGN_ACCESSION,1042 CE,1042,1042,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,GAGIK_II_1042
M-AIRA055,Kingdom of Kars / Vanand,Mushegh,REGIONAL_SOVEREIGN_ACCESSION,961 / 962 / 963 CE (source disagreement),961,963,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,REGIONAL_OR_PRINCELY_ACCESSION,KARS_MUSHEGH_962
M-AIRA058,Kingdom of Vaspurakan,Gagik Artsruni,REGIONAL_SOVEREIGN_ACCESSION,908 CE,908,908,EXACT_YEAR,PRIMARY,REGIONAL_OR_PRINCELY_ACCESSION,VASP_GAGIK_908
M-AIRA064,Kingdom of Syunik,Smbat II,REGIONAL_SOVEREIGN_ACCESSION,970s CE; exact date unknown,970,979,DECADE_RANGE_SOURCE_WORDING,SENSITIVITY,REGIONAL_OR_PRINCELY_ACCESSION,SYUNIK_SMBAT_963
M-AIRA069,Kingdom of Tashir-Dzoraget / Lori,Gurgen I,REGIONAL_SOVEREIGN_ACCESSION,978 / 981 / 982 CE in modern chronologies,978,982,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,REGIONAL_OR_PRINCELY_ACCESSION,LORI_GURGEN_FOUNDATION
M-AIRA070,Kingdom of Tashir-Dzoraget / Lori,David Anhoghin,REGIONAL_SOVEREIGN_ACCESSION,989 CE,989,989,EXACT_YEAR,PRIMARY,REGIONAL_OR_PRINCELY_ACCESSION,LORI_DAVID_989
M-AIRA071,Kingdom of Tashir-Dzoraget / Lori,Gurgen II / Kiurike,REGIONAL_SOVEREIGN_ACCESSION,c. 1046 CE,,,APPROXIMATE_YEAR,SENSITIVITY,REGIONAL_OR_PRINCELY_ACCESSION,LORI_KIURIKE_1046_48
M-AIRA076,Armenian Principality of Cilicia,Thoros II,RESTORATION,1145 CE,1145,1145,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_THOROS_II_1145
M-AIRA077,Armenian Principality of Cilicia,Ruben II,PRINCELY_ACCESSION,1169 CE,1169,1169,EXACT_YEAR,PRIMARY,REGIONAL_OR_PRINCELY_ACCESSION,CILICIA_RUBEN_II_1169
M-AIRA078,Armenian Principality of Cilicia,Mleh,PRINCELY_ACCESSION,1169–1170 succession crisis; Mleh seized control during Ruben II's accession,1169,1170,SUCCESSION_CONTEXT_RANGE,SENSITIVITY,REGIONAL_OR_PRINCELY_ACCESSION,CILICIA_MLEH_1170
M-AIRA079,Armenian Principality of Cilicia,Ruben III,PRINCELY_ACCESSION,1175 CE,1175,1175,EXACT_YEAR,PRIMARY,REGIONAL_OR_PRINCELY_ACCESSION,CILICIA_RUBEN_III_1175
M-AIRA080,Armenian Principality of Cilicia,Leo II,PRINCELY_ACCESSION,1186 CE,1186,1186,EXACT_YEAR,PRIMARY,REGIONAL_OR_PRINCELY_ACCESSION,CILICIA_LEO_II_1186
M-AIRA081,Armenian Kingdom of Cilicia,Leo II,CORONATION_CONFIRMATION,6 January 1198 CE,1198,1198,EXACT_DAY,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LEO_1198
M-AIRA082,Armenian Kingdom of Cilicia,Zabel / Isabella,SOVEREIGN_ACCESSION,1219 CE,1219,1219,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_ZABEL_1219
M-AIRA083,Armenian Kingdom of Cilicia,Philip of Antioch,CO_RULE_ACCESSION,1222 CE,1222,1222,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_PHILIP_1222
M-AIRA084,Armenian Kingdom of Cilicia,Hethum I,CO_RULE_ACCESSION,1226 CE,1226,1226,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_HETHUM_1226
M-AIRA085,Armenian Kingdom of Cilicia,Leo III,SOVEREIGN_ACCESSION,1269 CE,1269,1269,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LEO_1269
M-AIRA086,Armenian Kingdom of Cilicia,Hethum II,SOVEREIGN_ACCESSION,1289 CE,1289,1289,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_HETHUMII_REIGNS
M-AIRA087,Armenian Kingdom of Cilicia,Thoros III,SOVEREIGN_ACCESSION,1293 CE,1293,1293,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_THOROSIII_1293
M-AIRA089,Armenian Kingdom of Cilicia,Smbat,SOVEREIGN_ACCESSION,1296 CE,1296,1296,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_SMBAT_1296
M-AIRA090,Armenian Kingdom of Cilicia,Constantine II,SOVEREIGN_ACCESSION,1298 / 1299 CE source disagreement,1298,1299,SOURCE_DISAGREEMENT_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,CILICIA_CONSTANTINE_1298
M-AIRA091,Armenian Kingdom of Cilicia,Hethum II,RESTORATION,1299 CE,1299,1299,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_HETHUMII_REIGNS
M-AIRA092,Armenian Kingdom of Cilicia,Leo IV,SOVEREIGN_ACCESSION,1305 CE,1305,1305,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LEOIV_1305
M-AIRA093,Armenian Kingdom of Cilicia,Oshin,SOVEREIGN_ACCESSION,1308 CE,1308,1308,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_OSHIN_1308
M-AIRA094,Armenian Kingdom of Cilicia,Leo V,SOVEREIGN_ACCESSION,1320 CE,1320,1320,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LEOV_1320
M-AIRA095,Armenian Kingdom of Cilicia,Guy I Lusignan,SOVEREIGN_ACCESSION,1342 CE,1342,1342,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LUSIGNAN_1342
M-AIRA096,Armenian Kingdom of Cilicia,Constantine III,SOVEREIGN_ACCESSION,1344 CE,1344,1344,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_CONSTANTINEIII_1344
M-AIRA097,Armenian Kingdom of Cilicia,Constantine IV,SOVEREIGN_ACCESSION,1365 CE,1365,1365,EXACT_YEAR,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_CONSTANTINEIV_1365
M-AIRA098,Armenian Kingdom of Cilicia,Leo VI,SUCCESSION_DESIGNATION_SEQUENCE,1373 designation/selection context; 1374 arrival and coronation,1373,1374,EVENT_SEQUENCE_RANGE,SENSITIVITY,SOVEREIGN_ACCESSION,CILICIA_LEOVI_1373_1374
M-AIRA099,Armenian Kingdom of Cilicia,Leo VI (Kurkjian: Leon V),CORONATION_CONFIRMATION,14 September 1374 CE,1374,1374,EXACT_DAY,PRIMARY,SOVEREIGN_ACCESSION,CILICIA_LEOVI_1373_1374
M-V3P001,Zakarid-administered northern Armenia,Zakare II and Ivane I,AUTONOMOUS_PRINCELY_RULE_EMERGENCE,late 12th century / beginning of the 1190s,,,BROAD_PERIOD_SOURCE_WORDING,SENSITIVITY,SEPARATE_CONTESTED_STATUS_STRATUM,V3_V3P001
M-V3P003,Zakarid princely house,Ivane I,PRINCELY_HEADSHIP_SUCCESSION,"ca. 1212 CE, contextual: soon after Zakare's death",,,CONTEXTUAL_APPROXIMATE_YEAR,SENSITIVITY,SEPARATE_CONTESTED_STATUS_STRATUM,V3_V3P003
M-V3P004,Zakarid princely house,Avag,PRINCELY_HEADSHIP_SUCCESSION,1230s CE,1230,1239,DECADE_RANGE_SOURCE_WORDING,SENSITIVITY,SEPARATE_GEORGIAN_COURT_OFFICE_STRATUM,V3_V3P004
M-V3P005,Ayrarat governorship / Vachutyan domain,Vache I Vachutyan,GOVERNOR_APPOINTMENT_AND_DYNASTIC_FOUNDATION,1205 CE,1205,1205,EXACT_YEAR,PRIMARY,SEPARATE_ADMINISTRATIVE_STRATUM,V3_V3P005
M-V3P007,Khachen,Jalal IV Hasan-Jalalyan,ACTIVE_RULE_ATTESTATION,early 1603 CE,1603,1603,APPROXIMATE_WITHIN_YEAR,SENSITIVITY,SEPARATE_ACTIVITY_ATTESTATION,V3_V3P007
M-MR001,Erevan Armenian community / melikdom,Melik-Aghamalean house,MELIKDOM_INSTITUTION_EMERGENCE,after the cessation of the Ottoman–Safavid war in 1639,,,POST_1639_UNBOUNDED,SENSITIVITY,MELIK_RULE_SEPARATE,MELIK_MR001
M-MR002,Eastern Armenia / Karabagh melikdoms,Armenian meliks under Nadir Shah,RIGHTS_CONFIRMATION_AND_ADMINISTRATIVE_RECOGNITION,"during Nadir Shah's rule, after the 1734–1736 Ottoman wars",,,BROAD_PERIOD_SOURCE_WORDING,SENSITIVITY,MELIK_RULE_SEPARATE,MELIK_MR002
M-MR003,Varanda / Artsakh melikdoms,Melik Shahnazar II; Panah Khan,POLITICAL_PERMISSION_EXTERNAL_SETTLEMENT,1752 CE,1752,1752,EXACT_YEAR,PRIMARY,MELIK_RULE_SEPARATE,MELIK_MR003
M-MR004,Varanda and Jraberd,Bahram-bek Melik-Shahnazarian; Melik-Vani (Hovhannes) Atabekian,ACTIVE_MELIK_LORDSHIP_ATTESTATION,1822–1823 donation-book itinerary,1822,1823,DOCUMENTARY_ATTESTATION_INTERVAL,SENSITIVITY,MELIK_RULE_SEPARATE,MELIK_MR004
